cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modalidad,ticket_tipo,activo,grupo_sustitucion,regla_grupo,descripcion_regla,nivel,rol_en_grupo,etiqueta_rol,oportunidad_neta,cubierto_por,nivel_base,motivo_grupo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,score_neto,prioridad,ranking_en_cuenta,valor_potencial_eur,valor_referencia_eur,valor_anual_eur,fuente_valor,modalidad_valor,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,anclaje,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Purchase Prediction,Purchase Prediction,Tech Consulting,Predictive Modeling,CSA - Tech,Proyecto,Medio,True,solo:Purchase Prediction,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,57.0,3455.0,3454.545454545454,3454.545454545454,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Retail Discovery AI,Retail Discovery AI,Tech Consulting,AI Recomendations,CSA - Tech,Proyecto,Medio,True,solo:Retail Discovery AI,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,58.0,5273.0,5272.727272727272,5272.727272727272,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Segmentacion + CRMint,Advanced Segmentation Cluster with CRMint,Tech Consulting,Predictive Modeling,CSA - Tech,Proyecto,Medio,True,solo:Advanced Segmentation Cluster with CRMint,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,59.0,3455.0,3454.545454545454,3454.545454545454,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Segmentacion avanzada,Advanced Segmentation Cluster,Tech Consulting,Predictive Modeling,CSA - Tech,Proyecto,Medio,True,solo:Advanced Segmentation Cluster,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,60.0,3455.0,3454.545454545454,3454.545454545454,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,TIK TOK Server Side,TIK TOK Server Side,Tech Consulting,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:TIK TOK Server Side,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,61.0,4091.0,4090.9090909090905,4090.9090909090905,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Talent2Flow,Talent2Flow,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,A cotizar,True,solo:Talent2Flow,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,62.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Topic Mine,Topic Mine,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Medio,True,Topic Mine,EXCLUSIVO,Topic Mine y Topic Mind + DCO son el mismo motor con distinto empaque.,1,REPRESENTANTE,Variante elegida del grupo,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,63.0,4636.0,4636.363636363636,4636.363636363636,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Elegir la variante con el cliente antes de cotizar
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Training GA4,Google Analytics 4 (5x sessions),Tech Consulting,Training - GMP,CSA - Tech,Proyecto,Bajo,True,solo:Google Analytics 4 (5x sessions),ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,64.0,1273.0,1272.7272727272725,1272.7272727272725,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Training GCP+BQ,GCP + BQ (5x 1‑hour sessions each),Tech Consulting,Training - Cloud,CSA - Tech,Proyecto,Bajo,True,solo:GCP + BQ (5x 1‑hour sessions each),ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,65.0,1273.0,1272.7272727272725,1272.7272727272725,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Training LookerStudio,LookerStudio (5x 1‑hour sessions each),Tech Consulting,Training - GMP,CSA - Tech,Proyecto,Bajo,True,solo:LookerStudio (5x 1‑hour sessions each),ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,66.0,1273.0,1272.7272727272725,1272.7272727272725,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Value Centric Measurement,Value Centric Measurement,Tech Consulting,Campaign Automation,CSA - Tech,Proyecto,Bajo,True,solo:Value Centric Measurement,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,67.0,1636.0,1636.3636363636363,1636.3636363636363,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Whatsapp Conversions Impo.,Whatsapp Conversions Import,Tech Consulting,Whatsapp - Measurement,CSA - Tech,Proyecto,Bajo,True,solo:Whatsapp Conversions Import,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,68.0,1818.0,1818.181818181818,1818.181818181818,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
GAES,GAES,Salud,Emergente,C- Nested,C- Nested,Creative Testing,C- Nested,CSA - Science,Proyecto,Alto,True,solo:C- Nested,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,19.0,40727.0,40727.27272727272,40727.27272727272,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,C-Perform setup,C- Perform set up + 4 month access,Creative Testing,C- Perform,CSA - Science,Contrato,Alto,True,C- Perform,ESCALABLE,El set up con 4 meses de acceso es la entrada; el acceso mensual es la continuidad.,1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 2 del grupo C- Perform: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,20.0,17818.0,17818.181818181816,17818.181818181816,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Elegir la variante con el cliente antes de cotizar
GAES,GAES,Salud,Emergente,META CAPI GW,META CAPI GATEWAY: Implementation in the Client's Own Environment,Data Integration & Activation,Server Side Solutions,CSA - Tech,Proyecto,Alto,True,META CAPI Gateway,ESCALABLE,"La version con Signals contiene a la version base: si ya esta la base, lo unico vendible es el upgrade.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 2 del grupo META CAPI Gateway: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,21.0,6091.0,6090.90909090909,6090.90909090909,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Elegir la variante con el cliente antes de cotizar
GAES,GAES,Salud,Emergente,META Catalogo API,META Catalog Integration via API,Data Integration & Activation,Catalogs Automation,CSA - Tech,Proyecto,Alto,True,META Catalogos,EXCLUSIVO,"Bulk upload, API o plataforma nativa son tres formas de resolver el mismo catalogo. Se elige una.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 3 del grupo META Catalogos: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,22.0,8091.0,8090.90909090909,8090.90909090909,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Elegir la variante con el cliente antes de cotizar
GAES,GAES,Salud,Emergente,APIs Private,APIs Private,Data Management & Engineering,Data Integration,CSA - Tech,Proyecto,Medio,True,solo:APIs Private,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,23.0,3455.0,3454.545454545454,3454.545454545454,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,APIs Public,APIs Public,Data Management & Engineering,Data Integration,CSA - Tech,Proyecto,Bajo,True,solo:APIs Public,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,24.0,2455.0,2454.5454545454545,2454.5454545454545,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
GAES,GAES,Salud,Emergente,CAPI 1PD Delivery,CAPI via CSA Gateway – 1PD Delivery,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Bajo,True,solo:CAPI via CSA Gateway – 1PD Delivery,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,25.0,1091.0,1090.9090909090908,1090.9090909090908,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
GAES,GAES,Salud,Emergente,CAPI WhatsApp,CAPI for Business Messaging (WhatsApp),Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Bajo,True,solo:CAPI for Business Messaging (WhatsApp),ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,26.0,3273.0,3272.7272727272725,3272.7272727272725,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
GAES,GAES,Salud,Emergente,MC Content API,MC Content API,Data Management & Engineering,Merchant Center,CSA - Tech,Proyecto,Alto,True,solo:MC Content API,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,27.0,14727.0,14727.272727272726,14727.272727272726,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Brand Equity Model,Brand Equity Model,Measurement & Attribution,BEM,CSA - Science,Proyecto,A cotizar,True,solo:Brand Equity Model,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,28.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,RBA,RBA,Measurement & Attribution,RBA,CSA - Science,Proyecto,Alto,True,RBA,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 3 del grupo RBA: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,29.0,19455.0,19454.545454545452,19454.545454545452,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Elegir la variante con el cliente antes de cotizar
GAES,GAES,Salud,Emergente,TV Impact per run,TV Impact per run,Measurement & Attribution,TV Impact,CSA - Science,Proyecto,Medio,True,TV Impact,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 3 del grupo TV Impact: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,30.0,5455.0,5454.545454545454,5454.545454545454,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Elegir la variante con el cliente antes de cotizar
GAES,GAES,Salud,Emergente,Research Ad Hoc,Research Ad Hoc,Science Consulting,Others Units,CSA - Science,Recurrente,A cotizar,True,solo:Research Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,31.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Appcellence,Appcellence,Tech Consulting,App Measurement,CSA - Tech,Proyecto,Bajo,True,solo:Appcellence,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,32.0,2818.0,2818.181818181818,2818.181818181818,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
GAES,GAES,Salud,Emergente,Audience Strategy,Audience Strategy,Tech Consulting,Audience Strategy,CSA - Tech,Proyecto,Medio,True,solo:Audience Strategy,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,33.0,5636.0,5636.363636363636,5636.363636363636,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Audiencias,Audiencias,Tech Consulting,Audiencias,CSA - Tech,Proyecto,A cotizar,True,solo:Audiencias,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,34.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Business Inteligence,Business Inteligence,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:Business Inteligence,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,35.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,CRM Ad Hoc,CRM Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:CRM Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,36.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,CRO UX-UI,Conversión Optimizer UX-UI,Tech Consulting,Convertion Rate Optimization,CSA - Tech,Proyecto,Alto,True,solo:Conversión Optimizer UX-UI,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,37.0,9909.0,9909.090909090908,9909.090909090908,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,CX Ad Hoc,CX Ad Hoc,Tech Consulting,Others Units,CSA - Tech,Recurrente,A cotizar,True,solo:CX Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,38.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Chat2Flow,Chat2Flow,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,A cotizar,True,solo:Chat2Flow,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,39.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Churn Prediction,Churn Prediction,Tech Consulting,Predictive Modeling,CSA - Tech,Proyecto,Medio,True,solo:Churn Prediction,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,40.0,3455.0,3454.545454545454,3454.545454545454,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Cloud Ad Hoc,Cloud Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Cloud Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,41.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Co-Op 4 All,Co-Op 4 All,Tech Consulting,E-retailers,CSA - Tech,Proyecto,Medio,True,solo:Co-Op 4 All,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,42.0,4091.0,4090.9090909090905,4090.9090909090905,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Converged Report,Converged Report,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:Converged Report,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,43.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Creative Tech Ad Hoc,Creative Tech Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Creative Tech Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,44.0,7136.0,7135.8125,7135.8125,Mediana portafolio,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Crystal Value,Crystal Value,Tech Consulting,Predictive Models,CSA - Tech,Proyecto,Bajo,True,solo:Crystal Value,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,23.8,23.8,C,45.0,3273.0,3272.7272727272725,3272.7272727272725,SRP catalogo,Valor de lista,0.141,0.0,1.0,0.032,0.1,23.778,1.0,1.0,0.0,0.35304166666666664,0.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta.,Usar como abrepuertas de bajo ticket
